article,category,href,image,introduce,keywords,source,time,title
none,政务,http://new.qq.com/omn/20180726/20180726A0UF7N.html,http://inews.gtimg.com/newsapp_ls/0/4546615411_870492/0,法制晚报·看法新闻（记者 董振杰）“如果榨菜都是这样的环境生产出来的，我永远不会再吃，希望对生产厂家进行严惩。”日前流传在网络的一段视频，曝光了榨菜的生产过程，有网友如此评论。对此，乌江涪陵榨菜生产厂家回应称，视频中被曝光的为黑作坊生产的“五香榨菜”，并非涪陵榨菜的产品，针对此事已经向有关部门举报。...,榨菜;乌江;生产过程,观海解局,2018/7/26 13:57,榨菜工厂生产过程令人作呕 乌江涪陵榨菜：不是我们 已举报
none,政务,http://new.qq.com/omn/20180726/20180726A0XGL1.html,http://inews.gtimg.com/newsapp_ls/0/4546664533_870492/0,央视网消息：国家移民管理局今天发出通知，从即日起，中国科学院、中国工程院院士及其随行人员在全国所有开放口岸出入境可使用边检“特别通道”优先通行。　　据了解，除了可以使用边检“特别通道”优先通行外，两院院士经陆地口岸出入境可不下车接受查验，以优待方式办理过关手续快速通关。　　国家移民管理局方面表示，目...,院士;国家移民管理局;中国工程院;边检;中国科学院,央视网新闻,2018/7/26 14:50,点赞！边检为院士开“绿色通道” 可快速通关
none,政务,http://new.qq.com/omn/20180726/20180726A16B52.html,http://inews.gtimg.com/newsapp_ls/0/4548443202_197130/0,2018年7月26日，青岛西海岸新区海洋与渔业局渔政人员在查看乌贼鱼苗。2018年7月26日，青岛西海岸新区海洋与渔业局渔政人员在对投放的乌贼鱼苗进行抽检。2018年7月26日，渔民在对即将放流的乌贼鱼苗充氧打包。7月26日，渔民在往货车上搬运乌贼鱼苗，运到投放地进行放流。7月26日，待放流的乌贼鱼苗。2018年7月26日，工作人员...,鱼苗;乌贼;青岛;渔民,人民图片,2018/7/26 16:54,青岛：50余万只金乌贼鱼苗放流大海
none,政务,http://new.qq.com/omn/20180729/20180729A0POE0.html,http://inews.gtimg.com/newsapp_ls/0/4588415722_197130/0,"人民网兰州7月29日电 (王文嘉)7月22日晚至23日凌晨,兰州市部分地区遭受强降雨并引发洪涝灾害,皋兰县水阜镇灾情严重。洪水退去后,兰州市公安消防支队7月27日紧急调集了160名官兵赶赴水阜镇与各级政府部门、人民群众一起进行“清淤除垢大行动”,消防官兵充分发挥了应急救援主力军作用,帮助受灾群众尽快恢复正常生产、生活秩序...",淤泥;兰州;甘肃,人民网,2018/7/29 13:55,甘肃兰州：洪灾后消防官兵深入灾区清理淤泥
none,政务,http://new.qq.com/omn/20180727/20180727A0ZVRN.html,http://inews.gtimg.com/newsapp_ls/0/4562126073_870492/0,在商家炮轰式的广告宣传下，婴幼儿游泳俨然成为孩子成长中的一条“必经之路”，即便价格不菲，还是受到不少家长热捧。（东方IC/图）提高宝宝免疫力、促进大脑发育、专业抚触师、专业私教一对一……在商家炮轰式的广告宣传下，婴幼儿游泳俨然成为孩子成长中的一条“必经之路”，即便价格不菲，还是受到不少家长热捧。婴幼儿...,婴幼儿;婴儿游泳;育婴师;保健院;大众点评;泳池,南方周末,2018/7/27 15:08,揭秘婴幼儿游泳馆：水质存隐患 服务无标准 监管成空白
none,政务,http://new.qq.com/omn/20180724/20180724A1BHAK.html,http://inews.gtimg.com/newsapp_ls/0/4526517973_197130/0,2018年7月24日讯（具体拍摄时间不详），英国德文郡，Ralph Westmacott将一辆废弃的旅行拖车改造成了复古的度假小屋。图片来源：BNPS/视觉中国            Ralph三年前在自己岳父的农场上发现了这辆车，当时它几乎处于完全报废的状态，破旧不堪，根本无法使用。图片来源：BNPS/视觉中国            三年前这辆旅行拖车的内部...,英国;浴缸,视觉中国图播快报,2018/7/24 17:30,英国废弃拖车华丽变身复古“度假屋”  装备齐全生意火爆
none,政务,http://new.qq.com/omn/20180723/20180723A0GB0L.html,http://inews.gtimg.com/newsapp_ls/0/4498104119_870492/0,2016年山东疫苗事件后，针对疫苗流通环节上的隐患，国家修订了《疫苗流通和预防接种管理条例》。但此次风波更多暴露出企业在生产管理和品控上的问题。过去的这个周末，所有育儿群和宝妈群，从未如此热闹过。讨论的主题只有一个——问题疫苗。2018年7月15日，国家药监局通告称，长春长生生物科技有限责任公司（以下简称长春...,疫苗;长春;长生;国家药监局;山东,南方周末,2018/7/23 10:12,长春长生问题疫苗：被放大的恐慌，该追查的问题
none,政务,http://new.qq.com/omn/20180722/20180722A1DOWM.html,http://inews.gtimg.com/newsapp_ls/0/4492550602_870492/0,撰文 | 周宇国家药监局负责人刚刚通报了本次长春长生人用狂犬病问题疫苗案件情况。话不多说，先看通稿。时间线根据举报提供的线索，7月5日，国家药监局会同吉林省局对长春长生公司进行飞行检查；7月15日，国家药监局会同吉林省局组成调查组进驻企业全面开展调查。7月15日，国家药监局发布了《关于长春长生生物科技有限责任...,疫苗;药品gmp证书;国家药监局;长春;飞行检查;狂犬病,北京青年报-政知道,2018/7/22 21:46,官方回应：长春长生随意变更疫苗工艺参数
none,政务,http://new.qq.com/omn/20180727/20180727A0J4NM.html,http://inews.gtimg.com/newsapp_ls/0/4558959045_870492/0,新京报快讯(记者戴轩 何强) 湖北省食品药品监督管理局官方网站近日发布公告，对武汉生物制品研究所有限公司效价不合格疫苗的原因及流向、处置等问题作出回答。  问：武汉生物制品研究所有限公司(以下简称武生所)生产的201607050-2批次疫苗效价不合格的原因是什么?  答：经现场检查发现，造成涉事批次疫苗效价低于国家标准规...,疫苗;武汉生物制品研究所;食药监;药品监督管理;湖北,新京报,2018/7/27 10:49,湖北食药监：武汉生物疫苗效价不合格，因分装设备短时间故障导致
none,政务,http://new.qq.com/omn/20180729/20180729A0G6YR00,http://inews.gtimg.com/newsapp_ls/0/4586545686_640330/0,山东疾控：作为购入方，没有对疫苗安全性、有效性进行检测的职责和能力,疫苗;狂犬病疫苗;山东,政事儿,2018/7/29 10:44,山东疾控：作为购入方，没有对疫苗安全性、有效性进行检测的职责和能力
none,政务,http://new.qq.com/omn/20180724/20180724A0N9F4.html,http://inews.gtimg.com/newsapp_ls/0/4514524034_870492/0,近日，长春长生生物科技有限责任公司冻干人用狂犬病疫苗生产存记录造假以及该公司与武汉生物制品研究所有限责任公司两批次百白破疫苗效价指标不符合标准规定的事件引发社会强烈关注。 对此，多地疾病预防控制中心发布关于涉事疫苗的信息，截至发稿前已有28个省、自治区、直辖市的疾病预防控制中心发布消息。 上海：已全面停...,疫苗;狂犬病疫苗;疾病预防控制中心;长生生物;国家药品监督管理局,中国网,2018/7/24 11:33,28省份回应长生生物"问题疫苗"流向 多地已停用
none,政务,http://new.qq.com/cmsn/20180723/20180723023282.html,http://inews.gtimg.com/newsapp_ls/0/4499521793_870492/0,关于近日曝出的狂犬病疫苗和百白破疫苗问题，经核实，我市无涉事批号的长春长生生物科技有限责任公司（以下简称“长春长生”）生产的冻干人用狂犬病疫苗及吸附无细胞百白破联合疫苗、武汉生物制品研究所有限责任公司（以下简称“武汉生物”）生产的百白破疫苗。　由长春长生和武汉生物生产的个别批号百白破疫苗因效价指标不符合规定曾于2017年11月3日受到国家食品药品监督管理总局的通报。我中心反应迅速，经排查确认我市无以上两个厂家生产的涉事批号的疫苗流入后，于2017年11月4日在“东莞疾控”微信公众号上发布排查结果，及时缓解,疫苗;狂犬病疫苗;东莞,东莞疾控,2018/7/23 11:57,东莞：全市无涉事批号“长春长生”狂犬疫苗
none,政务,http://new.qq.com/omn/20180726/20180726A1FN23.html,http://inews.gtimg.com/newsapp_ls/0/4550087426_870492/0,撰文 | 董鑫 编辑 | 庄立人长生生物生产批号为201605014-01的百白破问题疫苗时，崔洪海正担任吉林省食药监局局长。正在国务院调查组介入吉林疫苗事情之时，吉林食药监原局长崔洪海被提起公诉。△崔洪海据《长春日报》旗下微信公众号“长春政事儿”消息：今天（26日）吉林省食品药品监督管理局原党组书记、局长崔洪海（正厅...,疫苗;检察院;吉林;药监局;崔洪海,北京青年报-政知道,2018/7/26 18:19,给“长生疫苗”开绿灯的局长被公诉，曾强调要高度重视食药安全
none,政务,http://new.qq.com/omn/20180726/20180726A16N34.html,http://inews.gtimg.com/newsapp_ls/0/4548511425_870492/0,央视网消息：针对大家关注的2017年11月3号公布的百白破疫苗效价不合格问题，国家药监局昨天也作出了回应。　　国家药品监督管理局表示，2017年10月，原国家食品药品监督管理总局接到中国食品药品检定研究院报告，在药品抽样检验中检出长春长生生物公司生产的批号为201605014-01、武汉生物制品研究所有限责任公司生产的批号...,疫苗;国家药品监督管理局;疾病预防控制中心,央视网新闻,2018/7/26 16:59,问题疫苗去向公布！涉事产品已全部封存并召回
none,政务,http://new.qq.com/omn/20180726/20180726A19WDM.html,http://inews.gtimg.com/newsapp_ls/0/4549107163_870492/0,　　新京报快讯(记者许雯)7月25日晚，国家药监局官网发布《疫苗监管问答》。内容显示，7月25日起，在2018年年初对全国45家疫苗生产企业全覆盖跟踪检查的基础上，国家药监局将组织全国监管力量，派出检查组对全部疫苗生产企业原辅料、生产、检验、批签发等进行全流程、全链条彻查。　　释疑1：对长春长生生物公司进行飞行检...,疫苗;国家药监局;药品监督管理;疾病预防控制中心,新京报政解,2018/7/26 17:29,不合格百白破疫苗是如何发现的？控制情况如何？国家药监局回应
none,政务,http://new.qq.com/omn/20180725/20180725A17UB7.html,http://inews.gtimg.com/newsapp_ls/0/4533422395_870492/0,近日，国家医疗保障局会同财政部、人力资源社会保障部、国家卫生健康委联合印发了《关于做好2018年城乡居民基本医疗保险工作的通知》。这是国家层面首次从统筹城乡的角度，对城乡居民医保年度重点工作进行统一部署，体现了国家医保局职能整合和相关部门衔接过渡。《通知》要求，提高城乡居民医保筹资标准。2018年城乡居民医...,医保;城乡居民;门诊;基本医疗保险,央视网新闻,2018/7/25 16:58,国家医保局：明年全国统一的城乡居民医保制度全面实施
none,政务,http://new.qq.com/omn/20180728/20180728A1KHC0.html,http://inews.gtimg.com/newsapp_ls/0/4581101739_870492/0,【编辑/王瑞文 统筹/陈威】今日上午，中国纪检监察报发布文章称：近日，北京市海淀区人民法院对原北大资源集团总裁叶丽宁在私分国有资产案进行了一审判决，外逃八年的叶丽宁当庭认罪。文中称：叶丽宁因骄横被人称作“霸道女总裁”。大白新闻（微信ID：dabaixinwen）注意到，不仅国企高管有霸道行为，很多落马官员都曾被曝工...,叶丽宁;赵建国;红通;人大常委会;纪检监察;李卫平,大白新闻,2018/7/28 21:50,红通人员里被批“霸道女总裁”，她是第一人！
none,政务,http://new.qq.com/omn/20180727/20180727A1YG0O.html,http://inews.gtimg.com/newsapp_ls/0/4573452253_870492/0,新京报快讯(记者郭铁)7月27日，作为2018年全国食品安全宣传周的组成部分，由农业农村部、国家网信办、市场监管总局指导的中国食品辟谣论坛在京举行。农业农村部农产品质量安全监管局应急处处长方晓华致辞表示，谣言产生并得到广泛传播的最根本原因是信息不对称。在由政府、食品生产者、媒体、消费者构成的多元系统中，信息...,谣言;信息不对称;中国食品;国家网信办,新京报,2018/7/27 22:29,农业农村部方晓华：食品谣言产生的根本原因是信息不对称
none,政务,http://new.qq.com/omn/20180729/20180729A07VMQ.html,http://inews.gtimg.com/newsapp_ls/0/4587821376_870492/0,7月即将结束，又有一批谣言给我们的生活造成困扰，你都被哪些“套路”过？一起来看看吧！TOP10：菌类和茄子一起吃有毒，已死17人？七月初，一则“菌类不能和茄子一起吃，医大已经死17人”的消息在微信群里不胫而走。消息称：最近医院急诊患者比较多，大多是菌子中毒。蘑菇可以和小白菜一起炒，但不能和茄子一起吃。医院治不...,谣言;格列卫;茄子;中华慈善总会;锥蝽;微信朋友圈,央视新闻,2018/7/29 7:27,7月10大谣言在此 你被它们坑过吗？
none,政务,http://new.qq.com/omn/20180725/20180725A1KJUV.html,http://inews.gtimg.com/newsapp_ls/0/4535634276_870492/0,( 封面新闻记者 母琪) 刚刚，封面新闻记者从四川食药监获悉，近期组织抽检了饼干、肉制品、酒类等9个食品大类。其中，抽样检验项目合格样品158批次，不合格样品18批次，现将抽检情况向社会公开如下。据悉，此次抽检覆盖饼干、肉制品、酒类、餐饮食品、蔬菜制品、食用农产品、饮料、调味品、乳制品等9个食品大类共计176批...,样品;肉制品;抽检,封面新闻,2018/7/25 19:03,这些生抽、鸡精等被查出不合格！你家买了没有？
none,政务,http://new.qq.com/omn/20180727/20180727A0ZMXW.html,http://inews.gtimg.com/newsapp_ls/0/4562160576_870492/0,　 光明网评论员：这几天，围绕养老金，一些新闻颇可玩味。　　在河南辉县，警方成功侦破以办理退休养老保险为由的系列诈骗案20余起，涉案金额高达近200万元。经侦查获知，郝某自称在新乡市环卫部门上班，手里有指标可以办养老保险，只要交钱就能办，办好后每月可以领取1500元。许多群众纷纷将积攒多年的积蓄交于郝某，数...,养老金;黑龙江;养老焦虑;哈尔滨;养老保险,光明日报,2018/7/27 15:05,光明网评论员：正视养老焦虑
none,政务,http://new.qq.com/omn/20180724/20180724A103N3.html,http://inews.gtimg.com/newsapp_ls/0/4516789095_870492/0,点击上方“中国普法”关注我们！养老金是事关几亿人未来养老待遇的大事。记者23日获悉，养老金中央调剂三季度将启动资金缴拨。7月23日，人社部举行2018年二季度新闻发布会，图为人社部新闻发言人卢爱红。中新网记者 邱宇 摄　　7月23日，人社部新闻发言人卢爱红在发布会上表示，中央调剂基金按季度上解下拨，目前人社部正...,养老金;保险基金;人社部;卢爱红;退休人员,中国普法,2018/7/24 15:13,养老金又有“大动作”，退休人员待遇会受影响么？
none,政务,http://new.qq.com/omn/20180727/20180727A1703Z.html,http://inews.gtimg.com/newsapp_ls/0/4563469380_870492/0,储永宏 资料图7月27日下午，江苏省十三届人大常委会第四次会议任命储永宏为省财政厅厅长。储永宏，1966年1月生，之前任南京市副市长。前不久，7月19日，江苏省委组织部发布了对35名省管干部的任职前公示，公示名单中储永宏排在第一位。昨天（26日）是公示期的最后一天。据“交汇点”新闻客户端报道，江苏省人大常委会免去...,杨省世;财政厅;南京;储永宏;连云港;省财政厅,澎湃新闻,2018/7/27 16:41,储永宏被任命为江苏省财政厅厅长，杨省世“另有任用”
none,政务,http://new.qq.com/omn/20180726/20180726A0XLSB.html,http://inews.gtimg.com/newsapp_ls/0/4548711024_197130/0,2018年7月25日，湖北省襄阳市，中国铁路武汉局集团公司襄阳机务段襄阳东整备场上热浪滚滚，十多名机车检修人员在太阳下，对每台机车的车顶、机械室和车底进行检查作业。图片来源：杨东/视觉中国            据介绍，机车机械室安装了电机等各种设备，这些设备在停转后持续散热，由于内部空气不流通，机车机械室气温接近50摄...,杨东;机车;机务段;火车,视觉中国图播快报,2018/7/26 14:53,守护暑运安全  火车头“诊断师”50℃高温下作业
none,政务,http://new.qq.com/omn/20180724/20180724A131LP.html,http://inews.gtimg.com/newsapp_ls/0/4517389595_197130/0,2018年7月24日，在山西省运城盐湖景区拍摄的七彩盐湖美景。2018年7月24日，在山西省运城盐湖景区拍摄的七彩盐湖美景。2018年7月24日，在山西省运城盐湖景区拍摄的七彩盐湖美景。2018年7月24日，在山西省运城盐湖景区拍摄的七彩盐湖美景。2018年7月24日，在山西省运城盐湖景区拍摄的七彩盐湖美景。2018年7月24日，在山西省运...,盐湖;运城盐湖;山西;运城,人民图片,2018/7/24 15:54,山西运城：夏日盐湖七彩美
none,政务,http://new.qq.com/omn/20180725/20180725A17DXN.html,http://inews.gtimg.com/newsapp_ls/0/4533334589_870492/0,7月25日9时45分，雅安市石棉县电力路三段（楠桠河三桥至民族中学温泉旁）沿线的一处地质灾害应急排危除险工地发生崩塌，造成2人死亡1人轻伤的意外事故。事故发生后，当地消防、国土、规建、公安、新棉镇、120等相关人员赶赴事故现场指导抢险救援工作。经核查，事故死亡人员苟某、罗某和受伤人员冯某均为该工地石棉籍务工人...,雅安;石棉县,央视网新闻,2018/7/25 16:53,四川雅安石棉县一排危除险工地发生崩塌 致2死1伤
none,政务,http://new.qq.com/omn/20180729/20180729A0BB60.html,http://inews.gtimg.com/newsapp_ls/0/4585851574_870492/0,图说：复旦大学校园 来源/新民晚报记者 孙中钦摄　　新民晚报讯 （记者 王蔚）教育部学位与研究生教育发展中心近日公布了专业学位水平评估排名结果。上海市共有15个单位的42个专业学位点参评，39个专业学位点进入榜单，整体表现十分优异。上海市A+档专业学位点共有4个，占全国的22.2%，居全国第二名；上海市A类专业学位点共...,学位;上海交通大学;复旦大学;上海财经大学;上海;华东政法大学,新民晚报,2018/7/29 9:13,全国首次专业学位水平评估揭晓  上海位居第二
none,政务,http://new.qq.com/omn/20180729/20180729A08NSE.html,http://inews.gtimg.com/newsapp_ls/0/4585030871_870492/0,点击上方“中国普法”关注我们！微信、支付宝等支付工具使支付变得便捷但其安全性也让人担忧“窃用”他人微信、支付宝账户的犯罪多有发生这类案件的定性问题也争议颇多对此问题小编整理相关裁判规则和实务观点裁判规则1.盗窃他人银行卡后将卡绑定手机微信平台，转账获取卡内资金的，构成盗窃罪——陈嘉莹盗窃案案例要旨...,信用卡;信用卡诈骗罪,中国普法,2018/7/29 8:05,【关注】窃取他人微信、支付宝账户资金，如何定罪？
none,政务,http://new.qq.com/omn/20180723/20180723A18I2S.html,http://inews.gtimg.com/newsapp_ls/0/4503777038_870492/0,当前，新能源汽车正在进入一个快速发展的重要机遇期。众所周知，发展新能源汽车是我国从汽车大国迈向汽车强国的必由之路。随着支持政策的大力推进，新能源汽车生产企业和市场保有量也得到快速增长，我国已经成为全球最大的新能源汽车生产国和销售市场。国家统计局7月16日发布数据显示，2018年上半年，新能源汽车生产绝对量...,新能源汽车;新能源;自主品牌;整车厂;续航里程;车市,中国环保在线,2018/7/23 17:13,新能源汽车驶入“新赛季” 下半年反弹仍待发力节点
none,政务,http://new.qq.com/omn/20180725/20180725A1IQCM.html,http://inews.gtimg.com/newsapp_ls/0/4535532300_870492/0,   中考高考结束了，又到一年升学季。尊师重教是中华民族的传统美德，金榜题名无疑让学子及家长们对老师的感激更溢于言表。然而，感恩不能世俗异化，致谢不能触碰底线。作为学生，学有所成就是最好的报答；作为老师，桃李天下才是最幸福的奖励。教育部印发的《严禁教师违规收受学生及家长礼品礼金等行为的规定》，...,谢师恩;升学;高考;中考,中央纪委国家监委网站,2018/7/25 18:37,老师要注意：升学季谢师恩 这6条红线碰不得
none,政务,http://new.qq.com/omn/20180724/20180724A0OUFW.html,http://inews.gtimg.com/newsapp_ls/0/4514551261_197130/0,近日，一则关于降压药的新闻引起了网友的热议。这款名叫缬沙坦的原料药制剂产品，是可以用于生产降压药。此次爆出的缬沙坦含致癌物杂质的新闻，到底是怎么一回事，我们就来梳理一下事情的来龙去脉。缬沙坦是什么？高血压是指患者长期血压持续升高，内收缩压（俗称高压）大于等于140毫米汞柱，舒张压（俗称低压）大于等于90...,缬沙坦;诺华;降压药;高血压,科普中国,2018/7/24 11:54,含致癌物的降压药被紧急召回！究竟是怎么回事？真相在此
none,政务,http://new.qq.com/omn/20180724/20180724A14MJ8.html,http://inews.gtimg.com/newsapp_ls/0/4517730417_197130/0,2018年7月24日武警天津总队执勤一支队官兵正在搬运沙袋，奔赴受灾一线。2018年7月24日武警天津总队执勤一支队官兵正往受灾小区搬运沙袋。 2018年7月24日武警天津总队执勤一支队官兵正往受灾小区搬运沙袋。 2018年7月24日武警天津总队执勤一支队官兵正往受灾小区搬运沙袋。 2018年7月24日武警天津总队执勤一支队官兵正往受灾...,武警天津总队;受灾;官兵,人民图片,2018/7/24 16:15,暴雨来袭 武警天津总队官兵护卫百姓平安
none,政务,http://new.qq.com/omn/20180725/20180725A1HG5D.html,http://inews.gtimg.com/newsapp_ls/0/4541657261_197130/0,当人民生命财产遇到危险的时候我们最可爱的人再次挺身而出7月24日傍晚，海南省三亚市一艘快艇突然起火，船员弃船逃生且身上多处烧伤，南部战区陆军某海防旅船艇中队4名战士奋不顾身跳海救人。▲救援现场“感谢你们救了我儿子的命！”7月24日晚21时，在海南省第三人民医院烧伤科住院部，53岁的梁四妹对着救助他儿子的解放...,吴欢;海南;快艇;陆军;晕倒;救援,解放军报融媒体,2018/7/25 18:23,三亚一快艇突然起火  海防战士奋不顾身跳海救人！
none,政务,http://new.qq.com/omn/20180729/20180729A0PXWQ.html,http://inews.gtimg.com/newsapp_ls/0/4588477370_870492/0,处理后的现场。(图：无锡市梁溪区人民政府新闻办公室官方微博)　官微截图。　摄 中新网无锡7月29日电 (记者 孙权)日前，江苏无锡一城市宣传广告出现“牛头不对马嘴”的情况：在一张绘有无锡城市名胜景点的宣传海报上，“无锡印象”四个汉字下的英文竟是“Welcome to SiChuan”(欢迎来到四川)。无锡市梁溪区人民政府新闻办公...,无锡;宣传海报;梁溪区,中国新闻网,2018/7/29 14:02,无锡现“欢迎来四川”海报 城管称正在查证发布主体
none,政务,http://new.qq.com/omn/20180728/20180728A1NJ59.html,http://inews.gtimg.com/newsapp_ls/0/4581784061_870492/0,　　7月28日凌晨4时，安徽省涡阳县人民法院院长雷晨率领40名执行干警，趁周末被执行人以为法院休息，开展集中执行行动。4个小时，抓获失信被执行人9名，涉及11个案件，现场执结10件，执结标的额100万余元，一名被执行人因拒不履行被司法拘留，送进拘留所。　4时10分，执行干警出现在涡阳县城区东环路一家深夜大排档前。被执...,涡阳,最高人民法院,2018/7/28 23:03,凌晨出击，涡阳法院集中执行 擒9人结10案
none,政务,http://new.qq.com/omn/20180728/20180728A1JVYC.html,http://inews.gtimg.com/newsapp_ls/0/4580984278_870492/0,【编辑/王瑞文 统筹/陈威】今日上午，北京日报发布消息称;近日，北京市医疗保险事务管理中心对8家定点医疗机构违规情况进行通报，并追回违规费用。大白新闻（微信ID：dabaixinwen）注意到，近三日内，除了北京对医疗机构违规进行通报处罚，内蒙古、河南、广东、江苏这四省也针对违规违法问题进行了通报。在这次大检查中，还...,违规;医疗废物;医疗保险;北京;新乡医学院;审计,大白新闻,2018/7/28 21:36,3天内4省都为了这事，通报违规现象！
